yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
22.0,109000,20,2.0,Ankara,Basic,1
43.0,109000,23,5.0,Antalya,Premium,0
21.0,142000,18,4.0,Istanbul,Premium,1
37.0,41000,49,1.0,Izmir,Premium,0
41.0,122000,39,3.0,Antalya,Basic,0
57.0,127000,55,3.0,Istanbul,Pro,0
46.0,140000,30,4.0,Istanbul,Basic,0
32.0,45000,33,3.0,Ankara,Basic,1
41.0,146000,7,8.0,Izmir,Premium,1
26.0,88000,58,4.0,Bursa,Basic,0
43.0,52000,17,1.0,Izmir,Pro,0
64.0,83000,57,5.0,Istanbul,Premium,0
60.0,30000,14,4.0,Izmir,Pro,1
44.0,97000,15,6.0,Bursa,Basic,1
26.0,58000,2,5.0,Izmir,Basic,1
57.0,123000,31,0.0,Antalya,Premium,0
56.0,132000,18,1.0,Antalya,Basic,0
22.0,20000,35,5.0,Ankara,Pro,0
25.0,102000,34,6.0,Istanbul,Premium,1
62.0,26000,52,0.0,Istanbul,Pro,0
18.0,22000,1,1.0,Istanbul,Premium,1
29.0,34000,20,3.0,Ankara,Premium,0
24.0,86000,43,2.0,Istanbul,Basic,0
37.0,51000,29,2.0,Istanbul,Basic,0
62.0,97000,6,5.0,Istanbul,Basic,1
23.0,123000,21,2.0,Istanbul,Pro,0
42.0,38000,20,3.0,Izmir,Pro,1
18.0,104000,41,3.0,Ankara,Pro,0
52.0,43000,2,1.0,Antalya,Pro,1
27.0,112000,59,3.0,Istanbul,Pro,0
32.0,143000,46,5.0,Istanbul,Basic,0
,65000,16,,,,0
22.0,117000,16,2.0,Istanbul,Basic,0
64.0,21000,54,5.0,Antalya,Pro,0
27.0,44000,18,4.0,Ankara,Premium,1
41.0,123000,10,7.0,Bursa,Basic,1
53.0,78000,26,2.0,Istanbul,Premium,0
21.0,56000,34,3.0,Istanbul,Basic,0
26.0,62000,3,4.0,Bursa,Premium,1
37.0,67000,58,5.0,Istanbul,Basic,0
19.0,106000,39,1.0,Izmir,Basic,0
18.0,149000,1,3.0,Istanbul,Premium,0
34.0,104000,29,4.0,Istanbul,Basic,0
49.0,107000,1,4.0,Istanbul,Pro,1
47.0,71000,9,4.0,Antalya,Pro,1
62.0,145000,7,1.0,Izmir,Basic,0
46.0,47000,29,5.0,Izmir,Premium,0
,55000,49,,,,0
41.0,136000,29,0.0,Izmir,Basic,0
28.0,109000,33,3.0,Antalya,Basic,0
59.0,137000,18,4.0,Ankara,Pro,1
53.0,45000,22,0.0,Istanbul,Premium,0
18.0,50000,34,3.0,Istanbul,Pro,0
25.0,126000,8,2.0,Istanbul,Pro,0
41.0,96000,5,5.0,Istanbul,Premium,1
46.0,107000,6,4.0,Istanbul,Pro,1
50.0,122000,48,6.0,Antalya,Pro,0
39.0,108000,38,1.0,Istanbul,Pro,0
54.0,106000,31,1.0,Ankara,Premium,0
53.0,70000,50,2.0,Istanbul,Premium,0
51.0,127000,30,1.0,Ankara,Pro,0
21.0,37000,53,3.0,Bursa,Basic,0
45.0,72000,34,4.0,Antalya,Pro,0
51.0,24000,6,6.0,Antalya,Basic,1
37.0,109000,25,5.0,Bursa,Pro,0
45.0,95000,1,5.0,Istanbul,Basic,1
,121000,40,,,,1
,78000,17,,,,0
51.0,23000,17,2.0,Bursa,Pro,0
48.0,82000,57,5.0,Istanbul,Basic,0
55.0,20000,13,1.0,Istanbul,Basic,0
27.0,128000,23,9.0,Antalya,Pro,1
47.0,140000,4,4.0,Ankara,Basic,1
35.0,99000,21,6.0,Izmir,Premium,1
49.0,120000,5,3.0,Antalya,Basic,1
20.0,64000,7,10.0,Antalya,Basic,1
37.0,116000,38,2.0,Istanbul,Basic,0
36.0,136000,15,5.0,Ankara,Pro,1
39.0,75000,53,5.0,Antalya,Premium,0
21.0,95000,7,3.0,Izmir,Premium,1
